,,,,,,,,,,
,,,,,,,,,,
No.,Types of Research ,,Title of the Study,Researchers,Researchers/ Institutions,Year,Remarks,w/ File Copy (Yes/ No),Published (Yes/No),"Copy filed (soft or hard copy), Published online, or online archives"
27,Biodiversity and Ecosystem ,Coastal and Marine ,"Community structure of macroinvertebrates in seagrass-seaweed beds and coral reefs of Cuatro Islas MPAs, Leyte, Philippines","Espinosa, Eliza D., Metillo, Ephrime B., Tampus, Annielyn B., Quiaoit, Ann R., Orbita, Ronaldo R., and Evangelio, Julissah C.","Institute of Tropical Ecology and Environmental Management - Aquatic Ecosystems Division (ITEEM-AED)  of VSU; Department of Biology, University of San Carlos, Cebu City; Department of Biological Sciences, MSU-Iligan Institute of Technology, Iligan City; and Department of Pest Management, VSU, Visca, Baybay City, Leyte",2019,Completed,Yes,No,Soft Copy
28,Biodiversity and Ecosystem ,Coastal and Marine ,"Composition, Abundance and Distribution of Coral Reef Associated Macroinvertebrates in Mahaba Island, Cuatro Islas Protected Landscape and Seascape, Leyte","de la Rama, M.G",Visayas State University (VSU),2020,School requirement,No,,
29,Biodiversity and Ecosystem ,Coastal and Marine ,"Scleractinian corals in EDGE and IUCN Red list of Threatened species in selected areas of Camotes Sea, Central Philippines","Tuang-tuang, Jason G., Cesar, Senona A., & Montes, Humberto R. Jr. ",Institute of Tropical Ecology and Environmental Management - Aquatic Ecosystems Division (ITEEM-AED) and the Department of Biological Sciences (DBS) of the Visayas State University (VSU),2021,Completed,Yes,,Published online
30,Biodiversity and Ecosystem ,Coastal and Marine ,Beach Forest Species Composition in Cuatro Islas Protected Landscape and Seascape (CIPLS) in Western Leyte,"Cadiz, John Patrick",Visayas State University (VSU),2023,School requirement,Yes,,Soft Copy
31,Biodiversity and Ecosystem ,Terrestrial,"The Assessment of Karst Forest in Himokilan Island, Hindang Leyte","Zurita, Eric Jan T.",Visayas State University (VSU),2023,School requirement,Yes,,Soft Copy
32,Socio-economic,Ecotourism,"Impact Assessment of the Integrated Coastal Resource Management on the Livelihood of Small-scale Fishers in Cuatro Islas, Leyte","Degorio, Neriza D.",Visayas State University (VSU),2023,School requirement,Yes,,Published online
33,Biodiversity and Ecosystem ,Terrestrial,"Avifaunal Diversity in Cuatro Islas Protected Landscape and Seascape (CIPLS) in Leyte, Philippines","Consular, Rowela P.",Visayas State University (VSU),2023,School requirement,Yes ,,Soft Copy
34,Biodiversity and Ecosystem ,Terrestrial,"Assessment of Avifauna in Himokilan Island, Leyte","Lora, Kirstie M.",Visayas State University,2023,School requirement,Yes,,Soft Copy
35,Biodiversity and Ecosystem ,Coastal and Marine ,Status of a Coral Reef in Mahaba Island of Cuatro Islas Protected Landscape and Seascape (CIPLS) Based on Taxonomic Amalgamation Unit (TAUs),"Remellete, Aila Marie A.",Visayas State University (VSU),2024,School requirement,Yes,,Soft and Hard Copy
36,Socio-economic,Ecotourism,"Visitors’ Satisfaction of Tourist Products in Cuatro Islas Protected Landscape and Seascape (CIPLS) at Leyte, Philippines","Javillo, Jeane Wilmea A.",Visayas State University,2024,School requirement,Yes,,Soft Copy
37,Socio-economic,Socio-demographic profile; Ecotourism,"Sustainable Coastal Resource Management and its impact on Women's Livelihoods in Cuatro Islas, Leyte, Philippines","Muguchu, Percy",Visayas State University,2024,School requirement,Yes,,Soft Copy
38,Biodiversity and Ecosystem ,Coastal and Marine ,Ichthyoplankton Assemblage in the Islands of Cuatro Islas Protected Landscape and Seascape,"Reyes, Jose Enrique E.",Visayas State University,2025,School requirement,Yes,,Soft and Hard Copy
39,Policy and Governance,Policy Implementation and Compliance,"Stakeholder Dynamics in Ecotourism Governance of Cuatro Islas, Philippines","Rahmadani, Nurdita",Visayas State University,2025,School requirement,Yes,,Soft Copy
40,Socio-economic,Ecotourism,Perceived Quality Attributes of Cuatro Islas Protected Landscape and Seascape (CIPLS) on Tourists' Satisfaction and Destination Loyalty,Marylou Valenzone Madrazo,Visayas State University,2025,School requirement,Yes,,Soft and Hard Copy
41,Biodiversity and Ecosystem ,Coastal and Marine ,"Application of Geospatial Technologies to Understanding Crown-of-Thorns Seastar (COTS) Acanthasther CF. Solaris (Schreber, 1793) Outbreak, Patterns, and Trends in the Philippines","Jose Isidro Michael T. Padin, Joselito T. Sumabat, Jon Alfonso P. Horvidalla, Lyndisa C. Quiachon, Irish Azucena-Malay, Celeste V. Rallos, Portia P. Antig, Roxie D. Diaz, Nick Rubio II, Neil Syril Beceril, Jenny B. Lacorte, Ma. Jonesca Joy E. Bautista, Marcia Florenda G. Polo, Ann Lizther F. Jumawan, and Analyn B. Escorial","Ecosystems Reearch and Development Bureau - Coastal Resources and Ecotourism Research, Development, and Extension Center (ERDB-CRERDEC)",2025,Completion Report ,Yes,,Soft Copy
42,Biodiversity and Ecosystem ,Coastal and Marine ,"Marine Biodiversity Conservation in Camotes and Cuatro Islas, Camotes Sea, Central Philippines for Sustainable Marine Economy","Dr. Humberto R. Montes, Jr. (Project Leader), Dr. Analyn M. Mazo (Project Leader), Prof. Senona A. Cesar (Study Leader), Mr. Ris Menoel Modina (Study Leader), Ms. Julissah C. Evangelio (Study Leader), Mr. Art Russel Flandez (Study Leader), Mr. Jayzon Bitacura (Study Leader), Prof. Salome M. Bulayog",Visayas State University (VSU),2017-2020,Completed ,Yes,,Soft Copy
43,Biodiversity and Ecosystem ,Coastal and Marine ,Coral Reef Ecology and Geomorphology in Southeast Asia,-,"The Earth Observatory of Singapore; Nanyang Technological University (NTU), in collaboration with the Department of Biological Sciences (DBS) of the Visayas State University (VSU)",-,Ongoing,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
